model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
Logistic Regression,0.12765073776245117,0.03237481272386759,0.03586292266845703,0.010439746146263452,0.01,,0.0,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.9296875,0.85546875,0.91015625,0.86328125,0.890625,0.88984375,0.02788526296496054,3,0.9583333333333334,0.9252336448598131,0.9338842975206612,0.8974358974358975,0.9385964912280702,0.9306967328755551,0.0198619079650947,3,0.8984375,0.7734375,0.8828125,0.8203125,0.8359375,0.8421875,0.04485218779502288,17,0.9274193548387096,0.8425531914893617,0.9076305220883534,0.8571428571428571,0.8842975206611571,0.883808689244088,0.031249612882279402,15,0.96728515625,0.938934326171875,0.955352783203125,0.9285888671875,0.950775146484375,0.948187255859375,0.01336027923111582,1,,,,,
Logistic Regression,0.13742246627807617,0.020012252984986774,0.04025716781616211,0.018251936332568566,0.01,,1.0,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.91796875,0.83984375,0.890625,0.86328125,0.86328125,0.875,0.026836818808308856,19,0.9652173913043478,0.9578947368421052,0.9385964912280702,0.9514563106796117,0.9428571428571428,0.9512044145822556,0.00969354482897027,1,0.8671875,0.7109375,0.8359375,0.765625,0.7734375,0.790625,0.05510997527671374,19,0.9135802469135802,0.8161434977578476,0.8842975206611571,0.8484848484848485,0.8497854077253219,0.8624583043085512,0.03344047089352393,19,0.9637451171875,0.909149169921875,0.9503173828125,0.91497802734375,0.943817138671875,0.9364013671875,0.020966504560901697,19,,,,,
Logistic Regression,0.935455322265625,1.631470920717784,0.09096055030822754,0.06738941986844856,0.01,balanced,0.0,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.9296875,0.85546875,0.91015625,0.86328125,0.890625,0.88984375,0.02788526296496054,3,0.9583333333333334,0.9252336448598131,0.9338842975206612,0.8974358974358975,0.9385964912280702,0.9306967328755551,0.0198619079650947,3,0.8984375,0.7734375,0.8828125,0.8203125,0.8359375,0.8421875,0.04485218779502288,17,0.9274193548387096,0.8425531914893617,0.9076305220883534,0.8571428571428571,0.8842975206611571,0.883808689244088,0.031249612882279402,15,0.96728515625,0.938934326171875,0.955352783203125,0.9285888671875,0.950775146484375,0.948187255859375,0.01336027923111582,1,,,,,
Logistic Regression,0.013508081436157227,0.005004202889478509,0.03298254013061523,0.009898295705825507,0.01,balanced,1.0,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.91796875,0.83984375,0.890625,0.86328125,0.86328125,0.875,0.026836818808308856,19,0.9652173913043478,0.9578947368421052,0.9385964912280702,0.9514563106796117,0.9428571428571428,0.9512044145822556,0.00969354482897027,1,0.8671875,0.7109375,0.8359375,0.765625,0.7734375,0.790625,0.05510997527671374,19,0.9135802469135802,0.8161434977578476,0.8842975206611571,0.8484848484848485,0.8497854077253219,0.8624583043085512,0.03344047089352393,19,0.9637451171875,0.909149169921875,0.9503173828125,0.91497802734375,0.943817138671875,0.9364013671875,0.020966504560901697,19,,,,,
Logistic Regression,0.009699678421020508,0.0029927940123129614,0.02793583869934082,0.006985308572346845,0.1,,0.0,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.9140625,0.8671875,0.890625,0.8671875,0.890625,0.8859375,0.017539019000502847,17,0.9274193548387096,0.9122807017543859,0.8846153846153846,0.8983050847457628,0.9385964912280702,0.9122434034364627,0.01940299090440139,7,0.8984375,0.8125,0.8984375,0.828125,0.8359375,0.8546875,0.03651037951733726,13,0.9126984126984127,0.859504132231405,0.8914728682170543,0.8617886178861789,0.8842975206611571,0.8819523103388416,0.019758335141110847,17,0.9681396484375,0.938568115234375,0.956207275390625,0.9285888671875,0.949310302734375,0.948162841796875,0.01371350897343099,3,,,,,
Logistic Regression,0.008776235580444335,0.0014293919108221548,0.02440357208251953,0.003437414354905988,0.1,,1.0,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.92578125,0.8671875,0.9140625,0.8828125,0.87890625,0.89375,0.0222895978401361,1,0.9504132231404959,0.9272727272727272,0.9206349206349206,0.9224137931034483,0.9292035398230089,0.9299876407949202,0.010677326698831601,5,0.8984375,0.796875,0.90625,0.8359375,0.8203125,0.8515625,0.043357615392223776,15,0.9236947791164659,0.8571428571428571,0.9133858267716536,0.8770491803278688,0.8713692946058091,0.8885283875929311,0.02555709517342653,1,0.9686279296875,0.936859130859375,0.957122802734375,0.9268798828125,0.949066162109375,0.947711181640625,0.014694454393171144,17,,,,,
Logistic Regression,0.008906936645507813,0.0010585932859469467,0.023958253860473632,0.004525252177917135,0.1,balanced,0.0,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.9140625,0.8671875,0.890625,0.8671875,0.890625,0.8859375,0.017539019000502847,17,0.9274193548387096,0.9122807017543859,0.8846153846153846,0.8983050847457628,0.9385964912280702,0.9122434034364627,0.01940299090440139,7,0.8984375,0.8125,0.8984375,0.828125,0.8359375,0.8546875,0.03651037951733726,13,0.9126984126984127,0.859504132231405,0.8914728682170543,0.8617886178861789,0.8842975206611571,0.8819523103388416,0.019758335141110847,17,0.9681396484375,0.938568115234375,0.956207275390625,0.9285888671875,0.949310302734375,0.948162841796875,0.01371350897343099,3,,,,,
Logistic Regression,0.010900354385375977,0.005605975835239855,0.025243711471557618,0.0031847360382400176,0.1,balanced,1.0,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.92578125,0.8671875,0.9140625,0.8828125,0.87890625,0.89375,0.0222895978401361,1,0.9504132231404959,0.9272727272727272,0.9206349206349206,0.9224137931034483,0.9292035398230089,0.9299876407949202,0.010677326698831601,5,0.8984375,0.796875,0.90625,0.8359375,0.8203125,0.8515625,0.043357615392223776,15,0.9236947791164659,0.8571428571428571,0.9133858267716536,0.8770491803278688,0.8713692946058091,0.8885283875929311,0.02555709517342653,1,0.9686279296875,0.936859130859375,0.957122802734375,0.9268798828125,0.949066162109375,0.947711181640625,0.014694454393171144,17,,,,,
Logistic Regression,0.010898971557617187,0.0036898964190585676,0.0348142147064209,0.013264034618398892,1.0,,0.0,"{'model__C': 1.0, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.9140625,0.87109375,0.89453125,0.875,0.8828125,0.8875,0.01550736971974938,13,0.9274193548387096,0.9130434782608695,0.8854961832061069,0.9067796610169492,0.9224137931034483,0.9110304940852167,0.014644432201164941,9,0.8984375,0.8203125,0.90625,0.8359375,0.8359375,0.859375,0.035630482034348064,9,0.9126984126984127,0.8641975308641975,0.8957528957528957,0.8699186991869918,0.8770491803278688,0.8839233437660733,0.017890974147156836,11,0.9683837890625,0.938751220703125,0.955535888671875,0.92767333984375,0.948822021484375,0.947833251953125,0.013939427541864583,5,,,,,
Logistic Regression,0.013370561599731445,0.0077578685867569445,0.03507485389709473,0.013717781341991695,1.0,,1.0,"{'model__C': 1.0, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.9140625,0.87109375,0.89453125,0.875,0.8828125,0.8875,0.01550736971974938,13,0.9274193548387096,0.9130434782608695,0.8854961832061069,0.9067796610169492,0.9224137931034483,0.9110304940852167,0.014644432201164941,9,0.8984375,0.8203125,0.90625,0.8359375,0.8359375,0.859375,0.035630482034348064,9,0.9126984126984127,0.8641975308641975,0.8957528957528957,0.8699186991869918,0.8770491803278688,0.8839233437660733,0.017890974147156836,11,0.9683837890625,0.938690185546875,0.955718994140625,0.927734375,0.948577880859375,0.947821044921875,0.013947212987313532,7,,,,,
Logistic Regression,0.01773700714111328,0.010034836051533116,0.03415579795837402,0.010531718426318984,1.0,balanced,0.0,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.9140625,0.87109375,0.89453125,0.875,0.8828125,0.8875,0.01550736971974938,13,0.9274193548387096,0.9130434782608695,0.8854961832061069,0.9067796610169492,0.9224137931034483,0.9110304940852167,0.014644432201164941,9,0.8984375,0.8203125,0.90625,0.8359375,0.8359375,0.859375,0.035630482034348064,9,0.9126984126984127,0.8641975308641975,0.8957528957528957,0.8699186991869918,0.8770491803278688,0.8839233437660733,0.017890974147156836,11,0.9683837890625,0.938751220703125,0.955535888671875,0.92767333984375,0.948822021484375,0.947833251953125,0.013939427541864583,5,,,,,
Logistic Regression,0.01462693214416504,0.002939326854965587,0.0471036434173584,0.023517145543284036,1.0,balanced,1.0,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.9140625,0.87109375,0.89453125,0.875,0.8828125,0.8875,0.01550736971974938,13,0.9274193548387096,0.9130434782608695,0.8854961832061069,0.9067796610169492,0.9224137931034483,0.9110304940852167,0.014644432201164941,9,0.8984375,0.8203125,0.90625,0.8359375,0.8359375,0.859375,0.035630482034348064,9,0.9126984126984127,0.8641975308641975,0.8957528957528957,0.8699186991869918,0.8770491803278688,0.8839233437660733,0.017890974147156836,11,0.9683837890625,0.938690185546875,0.955718994140625,0.927734375,0.948577880859375,0.947821044921875,0.013947212987313532,7,,,,,
